銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"リンクアンドモチベーション","2170","東証","-","○","-","0","12/25","有","0.00","587","-14","-2.97 %","-","945","826,400","-4.39 %","貸借","0.00"
"サニーサイドアップ","2180","東証","-","○","-","0","06/25","有","0.00","2,127","-65","-3.00 %","-","616","85,200","-7.07 %","信用","0.00"
"ツカダ・グローバルＨＯＬＤ","2418","東証","-","○","-","0","12/25","有","0.00","600","-2","-0.49 %","-","234","275,600","-0.99 %","貸借","0.05"
"北海道コカ・コ−ラ","2573","東証","-","○","-","0","12/25","有","0.00","3,880","10","-0.51 %","-","95","60,200","-0.76 %","信用","0.00"
"日本マクドナルドＨＬＤＧ","2702","東証","-","○","-","0","12/25","有","0.00","4,800","-50","-0.62 %","-","1,867","2,271,600","-1.33 %","貸借","0.00"
"フジオフードシステム","2752","東証","-","○","-","0","12/25","有","0.00","2,712","-48","-1.84 %","-","357","68,700","-3.82 %","信用","0.00"
"カゴメ","2811","東証","-","○","-","0","12/25","有","0.00","2,477","0","-0.48 %","-","1,073","388,100","-1.70 %","貸借","0.00"
"一正蒲鉾","2904","東証","-","○","-","0","06/25","有","0.00","1,089","-7","-0.09 %","-","154","99,600","-3.02 %","貸借","0.05"
"日本たばこ産業","2914","東証","-","○","-","0","09/25","有","0.00","2,502.5","-13.0","0.10 %","-","8,950","11,447,400","-0.67 %","貸借","0.00"
"アルペン","3028","東証","-","○","-","0","12/25","有","0.00","1,560","-22","-1.20 %","-","893","446,900","-2.50 %","貸借","0.05"
"アークランドサービスＨＤ","3085","東証","-","○","-","0","12/25","有","0.00","1,850","-11","-0.64 %","-","805","538,500","-1.54 %","貸借","0.00"
"ブロンコビリー","3091","東証","-","○","-","0","12/25","有","0.00","2,205","-17","-0.67 %","-","588","139,900","-1.47 %","信用","0.00"
"物語コーポレーション","3097","東証","-","○","-","0","12/25","有","0.00","8,270","-280","-3.94 %","-","436","199,100","-4.72 %","貸借","0.00"
"メディアスホールディングス","3154","東証","-","○","-","0","06/25","有","0.00","721","-9","-0.96 %","-","357","214,300","-1.23 %","貸借","0.05"
"ジョイフル本田","3191","東証","-","○","-","0","06/16","有","0.00","1,232","-11","-0.48 %","-","362","134,700","-2.06 %","貸借","0.00"
"すかいらーくＨＤ","3197","東証","-","○","-","0","12/25","有","0.00","1,891","-20","-0.99 %","-","6,623","7,098,100","-2.67 %","貸借","0.05"
"サンセイランディック","3277","東証","-","○","-","0","12/25","有","0.00","749","-7","-0.79 %","-","274","163,400","-1.83 %","貸借","0.00"
"ムゲンエステート","3299","東証","-","○","-","0","06/25","有","0.00","583","-5","-0.68 %","-","753","532,800","-2.18 %","貸借","0.05"
"ゴルフダイジェスト・オン","3319","東証","-","○","-","0","12/25","有","0.00","648","2","-0.15 %","-","133","73,800","-2.11 %","信用","0.00"
"クラレ","3405","東証","-","○","-","0","12/25","有","0.00","1,287","-13","-1.07 %","-","1,978","1,650,300","-2.12 %","貸借","0.00"
"ウイルプラスＨＬＤＧＳ","3538","東証","-","○","-","0","06/25","有","0.00","812","-14","-2.05 %","-","201","170,900","-4.69 %","貸借","0.05"
"ＣＡＲＴＡＨＯＬＤＩＮＧＳ","3688","東証","-","○","-","0","12/25","有","0.00","1,355","6","-0.07 %","-","708","211,500","-4.44 %","貸借","0.00"
"ＧＭＯクラウド","3788","東証","-","○","-","0","09/25","有","0.00","3,005","-65","-1.95 %","-","264","69,200","-3.06 %","貸借","0.00"
"ザ・パック","3950","東証","-","○","-","0","12/25","有","0.00","3,305","90","0.91 %","-","186","83,500","-0.75 %","貸借","0.00"
"ＡＯＩＴＹＯＨＯＬＤＩＮＧＳ","3975","東証","-","○","-","0","06/25","有","0.00","752","-8","-0.66 %","-","790","660,900","-2.96 %","貸借","0.05"
"大倉工業","4221","東証","-","○","-","0","12/25","有","0.00","1,614","-26","0.12 %","-","154","43,600","-4.49 %","貸借","0.00"
"ＤＩＣ","4631","東証","-","○","-","0","12/25","有","0.00","2,839","-21","-0.76 %","-","1,360","471,800","-0.97 %","貸借","0.00"
"東洋インキＳＣホールディン","4634","東証","-","○","-","0","12/25","有","0.00","2,295","-50","-2.29 %","-","515","175,600","-2.95 %","貸借","0.00"
"東洋ビジネスエンジ","4828","東証","-","○","-","0","09/25","有","0.00","2,034","-12","-0.48 %","-","57","23,900","-0.82 %","貸借","0.00"
"小林製薬","4967","東証","-","○","-","0","12/25","有","0.00","7,830","-50","0.38 %","-","712","336,400","-3.33 %","貸借","0.15"
"アース製薬","4985","東証","-","○","-","0","12/25","有","0.00","4,745","-20","-1.04 %","-","301","221,500","-1.96 %","貸借","0.00"
"カナレ電気","5819","東証","-","○","-","0","12/25","有","0.00","1,928","-1","-0.56 %","-","67","41,400","-0.72 %","信用","0.00"
"岡部","5959","東証","-","○","-","0","12/25","有","0.00","951","-14","-1.04 %","-","530","657,300","-2.26 %","貸借","0.00"
"ＫｅｅＰｅｒ技研","6036","東証","-","○","-","0","12/25","有","0.00","1,289","-83","-6.04 %","-","304","74,500","-8.25 %","信用","0.00"
"ＩＢＪ","6071","東証","-","○","-","0","12/25","有","0.00","947","30","3.27 %","-","910","422,900","-0.62 %","貸借","0.00"
"ユニオンツール","6278","東証","-","○","-","0","12/25","有","0.00","2,725","17","0.59 %","-","304","83,500","-1.66 %","貸借","0.05"
"富士電機","6504","東証","-","○","-","0","06/25","有","0.00","3,685","30","0.68 %","-","1,460","691,400","-1.47 %","貸借","0.00"
"鈴木","6785","東証","-","○","-","0","12/25","有","0.00","607","-4","0.16 %","-","180","119,700","-3.34 %","貸借","0.05"
"本田技研","7267","東証","-","○","-","0","09/25","有","0.00","2,765.5","-20.0","0.19 %","-","5,302","3,096,900","-0.82 %","貸借","0.00"
"ヤマハ発動機","7272","東証","-","○","-","0","12/25","有","0.00","1,897","-25","-1.14 %","-","4,120","2,653,100","-2.06 %","貸借","0.00"
"アシックス","7936","東証","-","○","-","0","12/25","有","0.00","1,171","-31","-0.84 %","-","2,215","1,369,200","-2.66 %","貸借","0.00"
"キングジム","7962","東証","-","○","-","0","06/16","有","0.00","849","-6","-0.93 %","-","216","68,100","-3.85 %","貸借","0.05"
"立川ブラインド","7989","東証","-","○","-","0","12/25","有","0.00","1,326","51","3.59 %","-","121","106,700","-0.15 %","貸借","0.05"
"三陽商会","8011","東証","-","○","-","0","06/25","有","0.00","1,514","15","1.20 %","-","286","79,300","-2.00 %","貸借","0.05"
"千趣会","8165","東証","-","○","-","0","12/25","有","0.00","253","-7","-2.31 %","-","559","1,546,800","-6.29 %","貸借","0.05"
"ロイヤルホールディングス","8179","東証","-","○","-","0","12/25","有","0.00","2,662","-16","-0.52 %","-","905","775,000","-1.84 %","貸借","0.05"
"あおぞら銀行","8304","東証","-","○","-","0","09/25","有","0.00","2,585","-30","-0.95 %","-","1,887","1,120,500","-1.26 %","貸借","0.00"
"穴吹興産","8928","東証","-","○","-","0","06/25","有","0.00","2,957","-34","-0.97 %","-","209","66,500","-1.43 %","貸借","0.05"
"インヴィンシブル投資法","8963","東証","-","○","-","0","12/25","有","0.00","59,100","200","-0.33 %","-","1,823","26,989","-2.63 %","貸借","0.00"
"ジャパン・ホテル・リート","8985","東証","-","○","-","0","06/25","有","0.00","87,000","600","0.34 %","-","1,393","13,857","-1.91 %","貸借","0.00"
"ビジョン","9416","東証","-","○","-","0","12/25","有","0.00","4,805","75","0.73 %","-","755","174,400","-2.53 %","貸借","0.00"
"ＧＭＯインターネット","9449","東証","-","○","-","0","12/25","有","0.00","1,927","-52","-3.11 %","-","3,837","1,365,200","-4.03 %","貸借","0.05"
"ラックランド","9612","東証","-","○","-","0","09/25","有","0.00","2,439","-3","-0.20 %","-","162","72,400","-0.81 %","信用","0.00"
"藤田観光","9722","東証","-","○","-","0","12/25","有","0.00","2,831","-17","-1.73 %","-","262","132,100","-1.73 %","貸借","0.05"
"白洋舎","9731","東証","-","○","-","0","12/25","有","0.00","2,962","2","-0.06 %","-","16","6,700","-0.90 %","信用","0.00"
