銘柄名,銘柄コード
日本水産,1332
マルハニチロ,1333
上場Ｊリート,1345
サカタのタネ,1377
ホクト,1379
日鉄鉱業,1515
三井松島ＨＬＤＧＳ,1518
国際石油開発帝石,1605
石油資源開発,1662
Ｋ＆Ｏエナジーグループ,1663
安藤・間,1719
東急建設,1720
コムシスホールディングス,1721
高松コンストラクショングループ,1762
大成建設,1801
大林組,1802
清水建設,1803
長谷工コーポレーシヨン,1808
松井建設,1810
鹿島建設,1812
不動テトラ,1813
鉄建建設,1815
西松建設,1820
三井住友建設,1821
大豊建設,1822
前田建設,1824
奥村組,1833
東鉄工業,1835
イチケン,1847
戸田建設,1860
熊谷組,1861
北野建設,1866
矢作建設,1870
大東建託,1878
新日本建設,1879
ＮＩＰＰＯ,1881
東亜道路,1882
前田道路,1883
日本道路,1884
東亜建設,1885
若築建設,1888
東洋建設,1890
五洋建設,1893
福田組,1899
住友林業,1911
巴コーポレーション,1921
大和ハウス,1925
ライト工業,1926
積水ハウス,1928
北陸電気工事,1930
ユアテック,1934
四電工,1939
中電工,1941
関電工,1942
きんでん,1944
東京エネシス,1945
トーエネック,1946
住友電設,1949
日本電設工業,1950
協和エクシオ,1951
新日本空調,1952
九電工,1959
三機工業,1961
日揮,1963
中外炉工業,1964
ヤマト,1967
太平電業,1968
高砂熱学,1969
三晃金属,1972
ＮＥＣネッツエスアイ,1973
朝日工業社,1975
明星工業,1976
大氣社,1979
ダイダン,1980
日比谷総合設備,1982
東芝プラントシステム,1983
日本製粉,2001
日清製粉Ｇ本社,2002
昭和産業,2004
鳥越製粉,2009
中部飼料,2053
フィード・ワン,2060
三井製糖,2109
日新製糖,2117
ミクシィ,2121
日本Ｍ＆Ａセンター,2127
コシダカホールディングス,2157
エス・エム・エス,2175
パーソルホールディングス,2181
森永製菓,2201
中村屋,2204
江崎グリコ,2206
名糖産業,2207
不二家,2211
山崎製パン,2212
亀田製菓,2220
寿スピリッツ,2222
カルビー,2229
森永乳業,2264
六甲バター,2266
ヤクルト,2267
明治ホールディングス,2269
雪印メグミルク,2270
プリマハム,2281
日本ハム,2282
丸大食品,2288
ＳＦｏｏｄｓ,2292
伊藤ハム米久ＨＬＤＧＳ,2296
スタジオアリス,2305
シミックホールディングス,2309
システナ,2317
ＮＪＳ,2325
日鉄ソリューションズ,2327
綜合警備保障,2331
日本駐車場開発,2353
カカクコム,2371
ルネサンス,2378
ディップ,2379
ＳＢＳホールディングス,2384
ベネフィット・ワン,2412
エムスリー,2413
アウトソーシング,2427
ディー・エヌ・エー,2432
博報堂ＤＹＨＬＤＧＳ,2433
ＷＤＢホールディングス,2475
サッポロホールディングス,2501
アサヒグループホールディン,2502
キリンＨＤ,2503
宝ホールディングス,2531
オエノンホールディングス,2533
コカ・コーラボトラーズＪＨＤ,2579
サントリー食品インター,2587
伊藤園,2593
キーコーヒー,2594
日清オイリオグループ,2602
不二製油グループ,2607
Ｊ−オイルミルズ,2613
ローソン,2651
サンエー,2659
カワチ薬品,2664
エービーシー・マート,2670
伊藤忠食品,2692
エレマテック,2715
パルグループＨＬＤＧＳ,2726
あらた,2733
サーラコーポレーション,2734
双日,2768
アルフレッサホールディングス,2784
キッコーマン,2801
味の素,2802
キユーピー,2809
ハウス食品Ｇ本社,2810
アリアケジャパン,2815
ニチレイ,2871
東洋水産,2875
日清食品ＨＤ,2897
永谷園ホールディングス,2899
フジッコ,2908
わらべや日洋ＨＤ,2918
片倉工業,3001
グンゼ,3002
ヒューリック,3003
クオールホールディングス,3034
ビックカメラ,3048
あいホールディングス,3076
Ｊ．フロントリテイリング,3086
ドトール・日レスＨＤ,3087
マツモトキヨシＨＬＤＧＳ,3088
ＺＯＺＯ,3092
ココカラファイン,3098
三越伊勢丹ＨＤ,3099
東洋紡,3101
ユニチカ,3103
富士紡ホールディングス,3104
日清紡ホールディングス,3105
倉敷紡績,3106
ダイワボウＨＤ,3107
シキボウ,3109
日東紡績,3110
トヨタ紡織,3116
マクニカ・富士エレＨＬＤＧＳ,3132
ウエルシアＨＤ,3141
クリエイトＳＤＨ,3148
レスターホールディングス,3156
ＴＯＫＡＩホールディングス,3167
三洋貿易,3176
ウイン・パートナーズ,3183
日本毛織,3201
ユナイテッド・スーパーマーケ,3222
野村不動産ＨＬＤＧＳ,3231
プレサンスコーポレーション,3254
オープンハウス,3288
東急不動産ＨＤ,3289
飯田ＧＨＤ,3291
帝国繊維,3302
コスモス薬品,3349
シップヘルスケアＨＤ,3360
セブン＆アイ・ＨＬＤＧＳ,3382
ツルハホールディングス,3391
サンマルクホールディングス,3395
帝人,3401
東レ,3402
旭化成,3407
宮地エンジニアリングＧ,3431
トーカロ,3433
ＳＵＭＣＯ,3436
コメダホールディングス,3543
クスリのアオキＨＬＤＧＳ,3549
共和レザー,3553
セーレン,3569
小松マテーレ,3580
ワコールホールディングス,3591
ホギメディカル,3593
ＴＳＩホールディングス,3608
ＴＩＳ,3626
グリー,3632
コーエーテクモＨＤ,3635
三菱総合研究所,3636
ネクソン,3659
ブロードリーフ,3673
特種東海製紙,3708
ティーガイア,3738
インターネットイニシアティブ,3774
ＳＲＡホールディングス,3817
朝日ネット,3834
王子ホールディングス,3861
日本製紙,3863
三菱製紙,3864
北越コーポレーション,3865
レンゴー,3941
トーモク,3946
昭和電工,4004
住友化学,4005
住友精化,4008
日産化学,4021
クレハ,4023
テイカ,4027
石原産業,4028
日本曹達,4041
東ソー,4042
トクヤマ,4043
セントラル硝子,4044
東亞合成,4045
大阪ソーダ,4046
関東電化,4047
デンカ,4061
イビデン,4062
信越化学,4063
日本カ−バイド,4064
堺化学,4078
エア・ウォーター,4088
大陽日酸,4091
日本化学工業,4092
日本パ−カライジング,4095
高圧ガス,4097
四国化成,4099
日本触媒,4114
大日精化,4116
カネカ,4118
協和発酵キリン,4151
三菱瓦斯化学,4182
三井化学,4183
ＪＳＲ,4185
東京応化工業,4186
大阪有機化学,4187
三菱ケミカルＨＬＤＧＳ,4188
ＫＨネオケム,4189
ダイセル,4202
住友ベ−クライト,4203
積水化学,4204
日本ゼオン,4205
アイカ工業,4206
宇部興産,4208
積水樹脂,4212
タキロンシーアイ,4215
旭有機材,4216
日立化成,4217
ニチバン,4218
積水化成品,4228
群栄化学,4229
ダイキョーニシカワ,4246
日本化薬,4272
ＥＰＳホールディングス,4282
プレステージ・インター,4290
フェイス,4295
アミューズ,4301
ケネディクス,4321
電通,4324
インテージホールディングス,4326
日本精化,4362
ＡＤＥＫＡ,4401
日油,4403
ミヨシ油脂,4404
花王,4452
三洋化成,4471
武田薬品,4502
アステラス製薬,4503
大日本住友製薬,4506
塩野義製薬,4507
田辺三菱製薬,4508
あすか製薬,4514
日本新薬,4516
中外製薬,4519
科研製薬,4521
理研ビタミン,4526
ロート製薬,4527
小野薬品,4528
久光製薬,4530
持田製薬,4534
参天製薬,4536
扶桑薬品,4538
ツムラ,4540
日医工,4541
テルモ,4543
みらかホールディングス,4544
キッセイ薬品工業,4547
生化学工業,4548
栄研化学,4549
ＪＣＲファーマ,4552
東和薬品,4553
富士製薬工業,4554
沢井製薬,4555
ゼリア新薬工業,4559
第一三共,4568
キョーリン製薬ＨＤ,4569
大幸薬品,4574
ダイト,4577
大塚ホールディングス,4578
大正製薬ＨＤ,4581
大日本塗料,4611
日本ペイントＨＯＬＤ,4612
関西ペイント,4613
中国塗料,4617
日本特殊塗料,4619
藤倉化成,4620
太陽ホールディングス,4626
サカタインクス,4633
オリエンタルランド,4661
ダスキン,4665
パーク２４,4666
クレスコ,4674
フジ・メディア・ＨＤ,4676
ラウンドワン,4680
リゾートトラスト,4681
オービック,4684
ジャストシステム,4686
ヤフー,4689
ビー・エム・エル,4694
トレンドマイクロ,4704
りらいあコミュニケーショ,4708
日本オラクル,4716
アルファシステムズ,4719
フューチャー,4722
ＣＡＣＨＯＬＤＩＮＧＳ,4725
ユー・エス・エス,4732
オービックビジネスＣ,4733
伊藤忠テクノソリュー,4739
サイバーエージェント,4751
大塚商会,4768
セントラルスポーツ,4801
電通国際情報Ｓ,4812
デジタルガレージ,4819
フルキャストホールディングス,4848
エン・ジャパン,4849
富士フイルムＨＬＤＧＳ,4901
コニカミノルタ,4902
資生堂,4911
ライオン,4912
高砂香料,4914
マンダム,4917
ミルボン,4919
ファンケル,4921
コーセー,4922
ポーラ・オルビスＨＤ,4927
ノエビアホールディングス,4928
エステー,4951
コニシ,4956
荒川化学工業,4968
タカラバイオ,4974
ＪＣＵ,4975
デクセリアルズ,4980
クミアイ化学,4996
ニチレキ,5011
ユシロ化学,5013
富士石油,5017
出光興産,5019
ＪＸＴＧホールディングス,5020
コスモエネルギーＨＬＤＧＳ,5021
横浜ゴム,5101
ＴＯＹＯＴＩＲＥ,5105
ブリヂストン,5108
住友ゴム,5110
オカモト,5122
アキレス,5142
ニッタ,5186
住友理工,5191
三ツ星ベルト,5192
バンドー化学,5195
ＡＧＣ,5201
日本板硝子,5202
有沢製作所,5208
日本山村硝子,5210
日本電気硝子,5214
住友大阪セメント,5232
太平洋セメント,5233
日本ヒユ−ム,5262
日本コンクリ−ト,5269
三谷セキサン,5273
東海カーボン,5301
東洋炭素,5310
ノリタケ,5331
ＴＯＴＯ,5332
日本碍子,5333
日本特殊陶業,5334
ＭＡＲＵＷＡ,5344
品川リフラクトリーズ,5351
黒崎播磨,5352
フジミインコーポレーテッド,5384
ニチアス,5393
日本製鉄,5401
神戸製鋼所,5406
中山製鋼所,5408
合同製鐵,5410
ＪＦＥホールディングス,5411
東京製鐵,5423
共英製鋼,5440
大和工業,5444
大阪製鐵,5449
淀川製鋼所,5451
丸一鋼管,5463
モリ工業,5464
大同特殊鋼,5471
山陽特殊製鋼,5481
愛知製鋼,5482
日立金属,5486
大平洋金属,5541
栗本鉄工所,5602
日本製鋼所,5631
三菱製鋼,5632
日本軽金属ＨＤ,5703
三井金属,5706
東邦亜鉛,5707
三菱マテリアル,5711
住友鉱山,5713
ＤＯＷＡホールディングス,5714
古河機金,5715
古河電工,5801
住友電工,5802
フジクラ,5803
昭和電線ＨＬＤＧＳ,5805
タツタ電線,5809
リョービ,5851
アーレステイ,5852
アサヒＨＤ,5857
東洋製罐グループＨＤ,5901
ホッカンホールディングス,5902
横河ブリッジＨＬＤＧＳ,5911
ＯＳＪＢＨＤ,5912
駒井ハルテック,5915
三和ホールディングス,5929
三協立山,5932
ＬＩＸＩＬグループ,5938
ノーリツ,5943
長府製作所,5946
リンナイ,5947
ユニプレス,5949
日東精工,5957
ジーテクト,5970
東プレ,5975
パイオラックス,5988
日本発条,5991
中央発條,5992
三浦工業,6005
タクマ,6013
テクノプロ・ホールディング,6028
アサンテ,6073
リクルートホールディングス,6098
ツガミ,6101
オークマ,6103
東芝機械,6104
アマダホールディングス,6113
アイダエンジニア,6118
ＦＵＪＩ,6134
牧野フライス,6135
オーエスジー,6136
旭ダイヤモンド,6140
ＤＭＧ森精機,6141
ソデイツク,6143
ディスコ,6146
日東工器,6151
ベルシステム２４ＨＬＤＧＳ,6183
豊田自動織機,6201
島精機製作所,6222
日阪製作所,6247
やまびこ,6250
ナブテスコ,6268
三井海洋開発,6269
レオン自動機,6272
ＳＭＣ,6273
ホソカワミクロン,6277
オイレス工業,6282
サト−ホールディングス,6287
日精樹脂工業,6293
小松製作所,6301
住友重機械,6302
日立建機,6305
日工,6306
巴工業,6309
井関農機,6310
北川鉄工所,6317
クボタ,6326
荏原実業,6328
月島機械,6332
帝国電機製作所,6333
渋谷工業,6340
小森コーポレーション,6349
鶴見製作所,6351
住友精密,6355
荏原製作所,6361
石井鉄工所,6362
酉島製作所,6363
北越工業,6364
ダイキン工業,6367
オルガノ,6368
ト−ヨ−カネツ,6369
栗田工業,6370
椿本チエイン,6371
日機装,6376
新興プランテック,6379
アネスト岩田,6381
ダイフク,6383
加藤製作所,6390
油研工業,6393
タダノ,6395
フジテック,6406
ＣＫＤ,6407
キトー,6409
平和,6412
理想科学工業,6413
ＳＡＮＫＹＯ,6417
マースグループＨＬＤＧＳ,6419
福島工業,6420
竹内製作所,6432
アマノ,6436
ＪＵＫＩ,6440
サンデンホールディングス,6444
蛇の目ミシン,6445
ブラザー工業,6448
マックス,6454
モリタホールディングス,6455
グローリー,6457
新晃工業,6458
大和冷機工業,6459
セガサミーホールディングス,6460
日本ピストンリング,6461
リケン,6462
ＴＰＲ,6463
ホシザキ,6465
大豊工業,6470
日本精工,6471
ＮＴＮ,6472
ジェイテクト,6473
不二越,6474
ミネベアミツミ,6479
ＴＨＫ,6481
前澤給装工業,6485
イーグル工業,6486
キッツ,6498
日立,6501
東芝,6502
三菱電機,6503
安川電機,6506
シンフォニアテクノロジー,6507
明電舎,6508
オリジン,6513
山洋電気,6516
デンヨー,6517
三桜工業,6584
マキタ,6586
東芝テック,6588
芝浦メカトロニクス,6590
マブチモーター,6592
日本電産,6594
東光高岳,6617
ダイヘン,6622
ＪＶＣケンウッド,6632
第一精工,6640
日新電機,6641
大崎電気,6644
オムロン,6645
日東工業,6651
ＩＤＥＣ,6652
ジーエス・ユアサコーポ,6674
メルコホールディングス,6676
日本電気,6701
富士通,6702
沖電気,6703
電気興業,6706
サンケン電気,6707
アイホン,6718
ルネサスエレクトロニクス,6723
セイコーエプソン,6724
ワコム,6727
アルバック,6728
ＥＩＺＯ,6737
日本信号,6741
京三製作所,6742
能美防災,6744
ホーチキ,6745
エレコム,6750
パナソニック,6752
アンリツ,6754
富士通ゼネラル,6755
ソニー,6758
ＴＤＫ,6762
帝国通信工業,6763
タムラ製作所,6768
アルプスアルパイン,6770
ローランドディー．ジー．,6789
フオスタ−電機,6794
ＳＭＫ,6798
ホシデン,6804
ヒロセ電機,6806
日本航空電子,6807
ＴＯＡ,6809
マクセルホールディングス,6810
古野電気,6814
アイコム,6820
横河電機,6841
新電元工業,6844
アズビル,6845
日本光電工業,6849
チノー,6850
共和電業,6853
堀場製作所,6856
アドバンテスト,6857
エスペック,6859
キーエンス,6861
日置電機,6866
シスメックス,6869
ＯＢＡＲＡＧＲＯＵＰ,6877
デンソー,6902
千代田インテグレ,6915
レーザーテック,6920
スタンレー電気,6923
岩崎電気,6924
ウシオ電機,6925
日本セラミック,6929
図研,6947
日本電子,6951
カシオ,6952
ファナック,6954
ローム,6963
浜松ホトニクス,6965
新光電気工業,6967
京セラ,6971
太陽誘電,6976
村田製作所,6981
双葉電子工業,6986
日東電工,6988
北陸電気工業,6989
東海理化電機,6995
ニチコン,6996
日本ケミコン,6997
ＫＯＡ,6999
三井Ｅ＆ＳＨＤ,7003
日立造船,7004
三菱重工業,7011
川崎重工業,7012
ＩＨＩ,7013
名村造船所,7014
三菱ロジスネクスト,7105
じもとホールディングス,7161
全国保証,7164
めぶきフィナンシャルＧ,7167
東京きらぼしＦＧ,7173
九州フィナンシャルＧ,7180
ゆうちょ銀行,7182
コンコルディア・フィナンシャル,7186
西日本フィナンシャルＨＤ,7189
日産自動車,7201
いすゞ自動車,7202
トヨタ自動車,7203
日野自動車,7205
三菱自動車工業,7211
武蔵精密工業,7220
日産車体,7222
新明和工業,7224
極東開発工業,7226
日信工業,7230
トピー工業,7231
ティラド,7236
タチエス,7239
フタバ産業,7241
ＫＹＢ,7242
市光工業,7244
プレス工業,7246
太平洋工業,7250
ケーヒン,7251
アイシン精機,7259
マツダ,7261
今仙電機製作所,7266
スズキ,7269
ＳＵＢＡＲＵ,7270
ショーワ,7274
小糸製作所,7276
エクセディ,7278
豊田合成,7282
愛三工業,7283
日本精機,7287
エフ・シー・シー,7296
シマノ,7309
テイ・エステック,7313
３３ＦＧ,7322
第四北越フィナンシャルＧ,7327
ノジマ,7419
伯東,7433
ナガイレーベン,7447
三菱食品,7451
良品計画,7453
松田産業,7456
第一興商,7458
メディパルＨＤ,7459
アドヴァン,7463
萩原電気ＨＬＤＧＳ,7467
アズワン,7476
ドウシシャ,7483
高速,7504
Ｇ−７ホールディングス,7508
コーナン商事,7516
ネットワンシステムズ,7518
パンパシフィックＨＤ,7532
丸文,7537
スリーエフ,7544
西松屋チェーン,7545
ゼンショーホールディングス,7550
日本ライフライン,7575
ＶＴホールディングス,7593
アルゴグラフィックス,7595
ユナイテッドアローズ,7606
進和,7607
ハイデイ日高,7611
オーハシテクニカ,7628
壱番屋,7630
スギホールディングス,7649
島津製作所,7701
ＪＭＳ,7702
ブイ・テクノロジー,7717
スター精密,7718
愛知時計,7723
東京精密,7729
マニー,7730
ニコン,7731
トプコン,7732
オリンパス,7733
理研計器,7734
ＳＣＲＥＥＮホールディングス,7735
キヤノン電子,7739
タムロン,7740
ＨＯＹＡ,7741
エー・アンド・デイ,7745
朝日インテック,7747
キヤノン,7751
リコー,7752
シチズン時計,7762
リズム時計,7769
メニコン,7780
パラマウントベッドＨＤ,7817
永大産業,7822
アートネイチャー,7823
バンダイナムコＨＬＤＧＳ,7832
共立印刷,7838
フランスベッドＨＬＤＧＳ,7840
パイロットコーポレーション,7846
エイベックス,7860
トッパン・フォームズ,7862
フジシールインターナショナル,7864
タカラトミー,7867
プロネクサス,7893
ウッドワン,7898
大建工業,7905
凸版印刷,7911
大日本印刷,7912
共同印刷,7914
藤森工業,7917
前澤化成工業,7925
ジェイエスピー,7942
ニチハ,7943
エフピコ,7947
小松ウオール工業,7949
ヤマハ,7951
河合楽器,7952
クリナップ,7955
ピジヨン,7956
天馬,7958
リンテック,7966
信越ポリマー,7970
東リ,7971
イトーキ,7972
任天堂,7974
三菱鉛筆,7976
タカラスタンダ−ド,7981
コクヨ,7984
ニフコ,7988
オカムラ,7994
バルカー,7995
伊藤忠,8001
丸紅,8002
高島,8007
ヨンドシーホールディングス,8008
長瀬産業,8012
蝶理,8014
豊田通商,8015
オンワ−ドホールディングス,8016
三共生興,8018
兼松,8020
美津濃,8022
ユニー・ファミリーマートＨＤ,8028
三井物産,8031
日本紙パルプ,8032
東京エレクトロン,8035
日立ハイテクノロジーズ,8036
カメイ,8037
スターゼン,8043
セイコーＨＤ,8050
山善,8051
椿本興業,8052
住友商事,8053
日本ユニシス,8056
内田洋行,8057
三菱商事,8058
第一実業,8059
キヤノンマーケティングＪＰＮ,8060
西華産業,8061
東京産業,8070
ユアサ商事,8074
神鋼商事,8075
阪和興業,8078
カナデン,8081
菱電商事,8084
ニプロ,8086
フルサト工業,8087
岩谷産業,8088
兼松エレクトロニクス,8096
三愛石油,8097
稲畑産業,8098
ユニ・チヤ−ム,8113
ワキタ,8125
東邦ホールディングス,8129
サンゲツ,8130
ミツウロコグループ,8131
シナネンホールディングス,8132
伊藤忠エネクス,8133
サンワテクノス,8137
リョーサン,8140
新光商事,8141
東陽テクニカ,8151
モスフードサービス,8153
加賀電子,8154
立花エレテック,8159
木曽路,8160
上新電機,8173
日本瓦斯,8174
いなげや,8182
島忠,8184
チヨダ,8185
ライフコ−ポレ−ション,8194
リンガーハツト,8200
ＡＯＫＩホールディングス,8214
オークワ,8217
コメリ,8218
青山商事,8219
しまむら,8227
高島屋,8233
松屋,8237
エイチ・ツー・オーリテイリング,8242
近鉄百貨店,8244
丸井グループ,8252
クレディセゾン,8253
アクシアルリテイリング,8255
イオン,8267
イズミ,8273
平和堂,8276
フジ,8278
ヤオコー,8279
ゼビオホールディングス,8281
ケーズホールディングス,8282
ＰＡＬＴＡＣ,8283
新生銀行,8303
りそなホールディングス,8308
三井住友トラストＨＤ,8309
三井住友フィナンシャルＧ,8316
千葉銀行,8331
群馬銀行,8334
武蔵野銀行,8336
千葉興業銀行,8337
筑波銀行,8338
七十七銀行,8341
青森銀行,8342
秋田銀行,8343
岩手銀行,8345
東邦銀行,8346
東北銀行,8349
ふくおかフィナンシャルＧ,8354
静岡銀行,8355
十六銀行,8356
八十二銀行,8359
山梨中央銀行,8360
大垣共立銀行,8361
福井銀行,8362
北國銀行,8363
滋賀銀行,8366
南都銀行,8367
百五銀行,8368
京都銀行,8369
紀陽銀行,8370
ほくほくフィナンシャルＧ,8377
広島銀行,8379
山陰合同銀行,8381
中国銀行,8382
伊予銀行,8385
百十四銀行,8386
四国銀行,8387
阿波銀行,8388
大分銀行,8392
宮崎銀行,8393
佐賀銀行,8395
沖縄銀行,8397
琉球銀行,8399
セブン銀行,8410
みずほフィナンシャルＧ,8411
高知銀行,8416
山口フィナンシャルＧ,8418
芙蓉総合リース,8424
興銀リース,8425
東京センチュリー,8439
ＳＢＩホールディングス,8473
日本証券金融,8511
北洋銀行,8524
愛知銀行,8527
トマト銀行,8542
京葉銀行,8544
栃木銀行,8550
リコーリース,8566
イオンフィナンシャルサービス,8570
アコム,8572
ジャックス,8584
オリコ,8585
日立キャピタル,8586
オリックス,8591
三菱ＵＦＪリース,8593
ジャフコ,8595
トモニホールディングス,8600
大和証券Ｇ本社,8601
野村ホールディングス,8604
岡三証券グループ,8609
丸三証券,8613
東洋証券,8614
東海東京ＨＤ,8616
松井証券,8628
ＳＯＭＰＯホールディングス,8630
日本取引所グループ,8697
極東証券,8706
岩井コスモホールディング,8707
フィデアホール,8713
池田泉州ＨＤ,8714
ＭＳ＆ＡＤ,8725
ＳＯＮＹＦＨ,8729
第一生命ＨＬＤＧＳ,8750
東京海上ＨＤ,8766
ＮＥＣキャピタルソリューション,8793
Ｔ＆Ｄホールディングス,8795
三井不動産,8801
三菱地所,8802
平和不動産,8803
東京建物,8804
ダイビル,8806
京阪神ビルディング,8818
住友不動産,8830
太平洋興発,8835
テーオーシー,8841
スターツコーポレーション,8850
フジ住宅,8860
空港施設,8864
ゴールドクレスト,8871
リログループ,8876
イオンモール,8905
グランディハウス,8999
東武鉄道,9001
相鉄ホールディングス,9003
東京急行,9005
京浜急行,9006
小田急電鉄,9007
京王電鉄,9008
京成電鉄,9009
東日本旅客鉄道,9020
西日本旅客鉄道,9021
東海旅客鉄道,9022
西武ホールディングス,9024
鴻池運輸,9025
西日本鉄道,9031
ハマキョウレックス,9037
サカイ引越センター,9039
近鉄グループＨＬＤＧＳ,9041
阪急阪神ＨＬＤＧＳ,9042
南海電鉄,9044
京阪ホールディングス,9045
神戸電鉄,9046
名古屋鉄道,9048
山陽電鉄,9052
トランコム,9058
日本通運,9062
ヤマトホールディングス,9064
山九,9065
日新,9066
丸全昭和運輸,9068
センコーグループＨＬＤＧＳ,9069
トナミホールディングス,9070
ニッコンホールディングス,9072
福山通運,9075
セイノーホールディングス,9076
日立物流,9086
日本郵船,9101
商船三井,9104
ＮＳユナイテッド海運,9110
飯野海運,9119
九州旅客鉄道,9142
ＳＧホールディングス,9143
日本航空,9201
ＡＮＡホールディングス,9202
三菱倉庫,9301
三井倉庫ＨＯＬＤ,9302
住友倉庫,9303
渋沢倉庫,9304
ヤマタネ,9305
東陽倉庫,9306
日本トランスシティ,9310
安田倉庫,9324
東洋埠頭,9351
上組,9364
近鉄エクスプレス,9375
東京放送ＨＤ,9401
日本テレビＨＬＤＳ,9404
スカパーＪＳＡＴＨＤ,9412
コネクシオ,9422
日本電信電話,9432
ＫＤＤＩ,9433
光通信,9435
ＮＴＴドコモ,9437
カドカワ,9468
学研ホールディングス,9470
ゼンリン,9474
東京電力ＨＤ,9501
中部電力,9502
関西電力,9503
中国電力,9504
北陸電力,9505
東北電力,9506
四国電力,9507
九州電力,9508
北海道電力,9509
沖縄電力,9511
電源開発,9513
東京瓦斯,9531
大阪瓦斯,9532
東邦瓦斯,9533
広島ガス,9535
西部瓦斯,9536
静岡ガス,9543
メタウォーター,9551
アイネット,9600
松竹,9601
東宝,9602
エイチ・アイ・エス,9603
東映,9605
ＮＴＴデータ,9613
イチネンホールディングス,9619
建設技術研究所,9621
スペース,9622
アインホールディングス,9627
燦ホールディングス,9628
東京都競馬,9672
カナモト,9678
東京ドーム,9681
ＤＴＳ,9682
スクウェア・エニックス・ＨＤ,9684
シーイーシー,9692
カプコン,9697
西尾レントオール,9699
日本空港ビルデング,9706
トランス・コスモス,9715
乃村工藝社,9716
ジャステック,9717
ＳＣＳＫ,9719
ＫＮＴ−ＣＴホールディングス,9726
日本管財,9728
トーカイ,9729
セコム,9735
セントラル警備保障,9740
アイネス,9742
丹青社,9743
メイテツク,9744
ＴＫＣ,9746
富士ソフト,9749
船井総研ホールディン,9757
ＮＳＤ,9759
丸紅建材リース,9763
コナミホールディングス,9766
ベネッセホールディングス,9783
イオンディライト,9787
ニチイ学館,9792
ダイセキ,9793
日鉄物産,9810
トラスコ中山,9830
オートバックスセブン,9832
アークランドサカモト,9842
ニトリホールディングス,9843
加藤産業,9869
イノテック,9880
イエローハット,9882
松屋フーズＨＬＤＧＳ,9887
ＪＢＣＣホールディングス,9889
ＪＫホールディングス,9896
日伝,9902
杉本商事,9932
因幡電機産業,9934
王将フードサービス,9936
ミニストップ,9946
バローホールディングス,9956
ミスミグループ本社,9962
ベルク,9974
ファーストリテイリング,9983
ソフトバンクグループ,9984
スズケン,9987
サンドラッグ,9989
ジェコス,9991
ベルーナ,9997
